Pitch #,Inning,Half,Pitching Team,Pitcher #,Pitcher,Batting Team,Batter,Pitch Code,Pitch Type,Count Before,Count After,Recorded At
64,2,bottom,away,59,Sean Manaea,home,Luis Urías,F,Foul,"=""3-1""","=""3-2""",2026-06-29T23:37:12.950Z
65,2,bottom,away,59,Sean Manaea,home,Luis Urías,B,Ball,"=""3-2""","=""4-2""",2026-06-29T23:37:25.354Z
66,2,bottom,away,59,Sean Manaea,home,Yohendrick Piñango,F,Foul,"=""0-0""","=""0-1""",2026-06-29T23:37:52.487Z
67,2,bottom,away,59,Sean Manaea,home,Yohendrick Piñango,F,Foul,"=""0-1""","=""0-2""",2026-06-29T23:38:11.607Z
68,2,bottom,away,59,Sean Manaea,home,Yohendrick Piñango,B,Ball,"=""0-2""","=""1-2""",2026-06-29T23:38:29.440Z
69,2,bottom,away,59,Sean Manaea,home,Yohendrick Piñango,B,Ball,"=""1-2""","=""2-2""",2026-06-29T23:39:23.225Z
70,2,bottom,away,59,Sean Manaea,home,Yohendrick Piñango,SW,Swinging Strike,"=""2-2""","=""2-3""",2026-06-29T23:40:03.640Z
71,2,bottom,away,59,Sean Manaea,home,Myles Straw,B,Ball,"=""0-0""","=""1-0""",2026-06-29T23:40:36.399Z
72,2,bottom,away,59,Sean Manaea,home,Myles Straw,IP,In Play,"=""1-0""","=""1-0""",2026-06-29T23:40:37.692Z
73,3,top,home,39,Trey Yesavage,away,Francisco Alvarez,B,Ball,"=""0-0""","=""1-0""",2026-06-29T23:41:49.108Z
74,3,top,home,39,Trey Yesavage,away,Francisco Alvarez,SW,Swinging Strike,"=""1-0""","=""1-1""",2026-06-29T23:42:32.497Z
75,3,top,home,39,Trey Yesavage,away,Francisco Alvarez,IP,In Play,"=""1-1""","=""1-1""",2026-06-29T23:42:42.924Z
76,3,top,home,39,Trey Yesavage,away,Carson Benge,B,Ball,"=""0-0""","=""1-0""",2026-06-29T23:45:23.307Z
77,3,top,home,39,Trey Yesavage,away,Carson Benge,B,Ball,"=""1-0""","=""2-0""",2026-06-29T23:45:23.479Z
78,3,top,home,39,Trey Yesavage,away,Carson Benge,SW,Swinging Strike,"=""2-0""","=""2-1""",2026-06-29T23:45:24.002Z
79,3,top,home,39,Trey Yesavage,away,Carson Benge,SW,Swinging Strike,"=""2-1""","=""2-2""",2026-06-29T23:45:24.178Z
80,3,top,home,39,Trey Yesavage,away,Carson Benge,B,Ball,"=""2-2""","=""3-2""",2026-06-29T23:45:52.823Z
81,3,top,home,39,Trey Yesavage,away,Carson Benge,IP,In Play,"=""3-2""","=""3-2""",2026-06-29T23:45:55.023Z
82,3,top,home,39,Trey Yesavage,away,Juan Soto,F,Foul,"=""0-0""","=""0-1""",2026-06-29T23:46:31.906Z
83,3,top,home,39,Trey Yesavage,away,Juan Soto,B,Ball,"=""0-1""","=""1-1""",2026-06-29T23:47:35.878Z
84,3,top,home,39,Trey Yesavage,away,Juan Soto,SW,Swinging Strike,"=""1-1""","=""1-2""",2026-06-29T23:47:37.279Z
85,3,top,home,39,Trey Yesavage,away,Juan Soto,B,Ball,"=""1-2""","=""2-2""",2026-06-29T23:47:54.348Z
86,3,top,home,39,Trey Yesavage,away,Juan Soto,IP,In Play,"=""2-2""","=""2-2""",2026-06-29T23:48:26.914Z
87,3,top,home,39,Trey Yesavage,away,Bo Bichette,IP,In Play,"=""0-0""","=""0-0""",2026-06-29T23:49:05.709Z
93,3,bottom,away,59,Sean Manaea,home,George Springer,C,Called Strike,"=""0-0""","=""0-1""",2026-06-29T23:51:49.047Z
94,3,bottom,away,59,Sean Manaea,home,George Springer,B,Ball,"=""0-1""","=""1-1""",2026-06-29T23:51:49.533Z
95,3,bottom,away,59,Sean Manaea,home,George Springer,C,Called Strike,"=""1-1""","=""1-2""",2026-06-29T23:51:50.034Z
96,3,bottom,away,59,Sean Manaea,home,George Springer,SW,Swinging Strike,"=""1-2""","=""1-3""",2026-06-29T23:51:56.453Z
97,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,C,Called Strike,"=""0-0""","=""0-1""",2026-06-29T23:52:40.347Z
98,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,C,Called Strike,"=""0-1""","=""0-2""",2026-06-29T23:52:48.945Z
99,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,B,Ball,"=""0-2""","=""1-2""",2026-06-29T23:53:19.152Z
100,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,F,Foul,"=""1-2""","=""1-2""",2026-06-29T23:53:20.034Z
101,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,B,Ball,"=""1-2""","=""2-2""",2026-06-29T23:53:35.621Z
102,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,B,Ball,"=""2-2""","=""3-2""",2026-06-29T23:53:51.383Z
103,3,bottom,away,59,Sean Manaea,home,Nathan Lukes,IP,In Play,"=""3-2""","=""3-2""",2026-06-29T23:54:11.170Z
104,3,bottom,away,59,Sean Manaea,home,Vladimir Guerrero Jr.,B,Ball,"=""0-0""","=""1-0""",2026-06-29T23:54:38.288Z
105,3,bottom,away,59,Sean Manaea,home,Vladimir Guerrero Jr.,SW,Swinging Strike,"=""1-0""","=""1-1""",2026-06-29T23:54:59.959Z
106,3,bottom,away,59,Sean Manaea,home,Vladimir Guerrero Jr.,IP,In Play,"=""1-1""","=""1-1""",2026-06-29T23:55:07.991Z
107,4,top,home,39,Trey Yesavage,away,Francisco Lindor,SW,Swinging Strike,"=""0-0""","=""0-1""",2026-06-30T00:00:11.674Z
108,4,top,home,39,Trey Yesavage,away,Francisco Lindor,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:00:12.150Z
109,4,top,home,39,Trey Yesavage,away,Francisco Lindor,IP,In Play,"=""1-1""","=""1-1""",2026-06-30T00:00:29.976Z
110,4,top,home,39,Trey Yesavage,away,Jared Young,SW,Swinging Strike,"=""0-0""","=""0-1""",2026-06-30T00:00:39.134Z
