Pitch #	Inning	Half	Pitching Team	Pitcher #	Pitcher	Batting Team	Batter	Pitch Code	Pitch Type	Count Before	Count After	Recorded At
200	6	top	home	34	Kodai Senga	away	Brandon Marsh	B	Ball	1-1	2-1	2026-06-28T19:24:06.950Z
201	6	top	home	34	Kodai Senga	away	Brandon Marsh	IP	In Play	2-1	2-1	2026-06-28T19:24:25.339Z
202	6	top	home	34	Kodai Senga	away	J.T. Realmuto	F	Foul	0-0	0-1	2026-06-28T19:25:20.019Z
203	6	top	home	34	Kodai Senga	away	J.T. Realmuto	B	Ball	0-1	1-1	2026-06-28T19:25:41.871Z
204	6	top	home	34	Kodai Senga	away	J.T. Realmuto	SW	Swinging Strike	1-1	1-2	2026-06-28T19:25:54.818Z
205	6	top	home	34	Kodai Senga	away	J.T. Realmuto	SW	Swinging Strike	1-2	1-3	2026-06-28T19:26:12.636Z
207	6	top	home	34	Kodai Senga	away	Bryson Stott	F	Foul	0-0	0-1	2026-06-28T19:26:41.603Z
208	6	top	home	34	Kodai Senga	away	Bryson Stott	B	Ball	0-1	1-1	2026-06-28T19:26:58.930Z
209	6	top	home	34	Kodai Senga	away	Bryson Stott	IP	In Play	1-1	1-1	2026-06-28T19:27:23.793Z
210	6	top	home	34	Kodai Senga	away	Derek Hill	C	Called Strike	0-0	0-1	2026-06-28T19:28:05.380Z
211	6	top	home	34	Kodai Senga	away	Derek Hill	F	Foul	0-1	0-2	2026-06-28T19:28:25.966Z
212	6	top	home	34	Kodai Senga	away	Derek Hill	B	Ball	0-2	1-2	2026-06-28T19:28:59.652Z
213	6	top	home	34	Kodai Senga	away	Derek Hill	SW	Swinging Strike	1-2	1-3	2026-06-28T19:29:16.886Z
214	6	bottom	away	55	Chase Shugart	home	Francisco Alvarez	C	Called Strike	0-0	0-1	2026-06-28T19:30:33.814Z
215	6	bottom	away	55	Chase Shugart	home	Francisco Alvarez	IP	In Play	0-1	0-1	2026-06-28T19:30:43.527Z
216	6	bottom	away	55	Chase Shugart	home	Jared Young	B	Ball	0-0	1-0	2026-06-28T19:31:44.003Z
217	6	bottom	away	55	Chase Shugart	home	Jared Young	B	Ball	1-0	2-0	2026-06-28T19:31:59.866Z
218	6	bottom	away	55	Chase Shugart	home	Jared Young	C	Called Strike	2-0	2-1	2026-06-28T19:32:20.181Z
219	6	bottom	away	55	Chase Shugart	home	Jared Young	SW	Swinging Strike	2-1	2-2	2026-06-28T19:32:36.182Z
220	6	bottom	away	55	Chase Shugart	home	Jared Young	B	Ball	2-2	3-2	2026-06-28T19:32:54.018Z
221	6	bottom	away	55	Chase Shugart	home	Jared Young	F	Foul	3-2	3-2	2026-06-28T19:33:14.460Z
222	6	bottom	away	55	Chase Shugart	home	Jared Young	C	Called Strike	3-2	3-3	2026-06-28T19:33:50.146Z
223	6	bottom	away	55	Chase Shugart	home	A.J. Ewing	IP	In Play	0-0	0-0	2026-06-28T19:35:09.882Z
224	6	bottom	away	55	Chase Shugart	home	Brett Baty	B	Ball	0-0	1-0	2026-06-28T19:35:56.956Z
225	6	bottom	away	55	Chase Shugart	home	Brett Baty	B	Ball	1-0	2-0	2026-06-28T19:36:10.375Z
226	6	bottom	away	55	Chase Shugart	home	Brett Baty	C	Called Strike	2-0	2-1	2026-06-28T19:36:27.644Z
227	6	bottom	away	55	Chase Shugart	home	Brett Baty	SW	Swinging Strike	2-1	2-2	2026-06-28T19:36:43.330Z
228	6	bottom	away	55	Chase Shugart	home	Brett Baty	B	Ball	2-2	3-2	2026-06-28T19:37:14.074Z
229	6	bottom	away	55	Chase Shugart	home	Brett Baty	B	Ball	3-2	4-2	2026-06-28T19:37:58.055Z
230	6	bottom	away	55	Chase Shugart	home	Luis Torrens	C	Called Strike	0-0	0-1	2026-06-28T19:38:29.907Z
231	6	bottom	away	55	Chase Shugart	home	Luis Torrens	B	Ball	0-1	1-1	2026-06-28T19:38:45.143Z
232	6	bottom	away	55	Chase Shugart	home	Luis Torrens	IP	In Play	1-1	1-1	2026-06-28T19:39:04.309Z
233	6	bottom	away	19	Kyle Backhus	home	Carson Benge	B	Ball	0-0	1-0	2026-06-28T19:42:00.164Z
234	6	bottom	away	19	Kyle Backhus	home	Carson Benge	IP	In Play	1-0	1-0	2026-06-28T19:42:24.825Z
235	6	bottom	away	19	Kyle Backhus	home	Carson Benge	IP	In Play	1-0	1-0	2026-06-28T19:42:24.923Z
236	6	bottom	away	19	Kyle Backhus	home	Juan Soto	F	Foul	0-0	0-1	2026-06-28T19:43:56.813Z
237	6	bottom	away	19	Kyle Backhus	home	Juan Soto	IP	In Play	0-1	0-1	2026-06-28T19:45:03.184Z
239	6	bottom	away	19	Kyle Backhus	home	Bo Bichette	B	Ball	0-0	1-0	2026-06-28T19:45:37.917Z
240	6	bottom	away	19	Kyle Backhus	home	Bo Bichette	IP	In Play	1-0	1-0	2026-06-28T19:45:52.520Z
241	7	top	home	34	Kodai Senga	away	Justin Crawford	C	Called Strike	0-0	0-1	2026-06-28T19:48:28.430Z
242	7	top	home	34	Kodai Senga	away	Justin Crawford	IP	In Play	0-1	0-1	2026-06-28T19:49:13.753Z
243	7	top	home	34	Kodai Senga	away	Trea Turner	SW	Swinging Strike	0-0	0-1	2026-06-28T19:50:20.816Z
244	7	top	home	34	Kodai Senga	away	Trea Turner	B	Ball	0-1	1-1	2026-06-28T19:50:40.109Z
245	7	top	home	34	Kodai Senga	away	Trea Turner	F	Foul	1-1	1-2	2026-06-28T19:51:36.699Z
246	7	top	home	34	Kodai Senga	away	Trea Turner	B	Ball	1-2	2-2	2026-06-28T19:52:10.233Z
247	7	top	home	34	Kodai Senga	away	Trea Turner	B	Ball	2-2	3-2	2026-06-28T19:52:29.099Z
248	7	top	home	34	Kodai Senga	away	Trea Turner	IP	In Play	3-2	3-2	2026-06-28T19:52:53.989Z
249	7	top	home	34	Kodai Senga	away	Trea Turner	F	Foul	3-2	3-2	2026-06-28T19:53:02.463Z
250	7	top	home	34	Kodai Senga	away	Trea Turner	F	Foul	3-2	3-2	2026-06-28T19:53:35.085Z
251	7	top	home	34	Kodai Senga	away	Trea Turner	IP	In Play	3-2	3-2	2026-06-28T19:54:02.384Z
252	7	top	home	34	Kodai Senga	away	Kyle Schwarber	B	Ball	0-0	1-0	2026-06-28T19:54:50.114Z
253	7	top	home	34	Kodai Senga	away	Kyle Schwarber	SW	Swinging Strike	1-0	1-1	2026-06-28T19:55:10.781Z
254	7	top	home	34	Kodai Senga	away	Kyle Schwarber	F	Foul	1-1	1-2	2026-06-28T19:55:34.582Z
255	7	top	home	34	Kodai Senga	away	Kyle Schwarber	F	Foul	1-2	1-2	2026-06-28T19:56:23.090Z
256	7	top	home	34	Kodai Senga	away	Kyle Schwarber	IP	In Play	1-2	1-2	2026-06-28T19:57:19.850Z
257	7	top	home	34	Kodai Senga	away	Bryce Harper	B	Ball	0-0	1-0	2026-06-28T19:58:09.949Z
258	7	top	home	34	Kodai Senga	away	Bryce Harper	B	Ball	1-0	2-0	2026-06-28T19:58:25.348Z
260	7	top	home	34	Kodai Senga	away	Bryce Harper	C	Called Strike	2-0	2-1	2026-06-28T19:59:20.137Z
262	7	top	home	34	Kodai Senga	away	Bryce Harper	F	Foul	2-1	2-2	2026-06-28T19:59:23.631Z
264	7	top	home	34	Kodai Senga	away	Bryce Harper	F	Foul	2-2	2-2	2026-06-28T19:59:48.732Z
265	7	top	home	34	Kodai Senga	away	Bryce Harper	B	Ball	2-2	3-2	2026-06-28T20:00:01.578Z
266	7	top	home	34	Kodai Senga	away	Bryce Harper	IP	In Play	3-2	3-2	2026-06-28T20:00:08.930Z
267	7	top	home	34	Kodai Senga	away	Alec Bohm	C	Called Strike	0-0	0-1	2026-06-28T20:00:44.088Z
268	7	top	home	34	Kodai Senga	away	Alec Bohm	B	Ball	0-1	1-1	2026-06-28T20:01:01.590Z
269	7	top	home	34	Kodai Senga	away	Alec Bohm	B	Ball	1-1	2-1	2026-06-28T20:01:21.888Z
270	7	top	home	34	Kodai Senga	away	Alec Bohm	IP	In Play	2-1	2-1	2026-06-28T20:01:43.853Z
271	7	bottom	away	46	José Alvarado	home	Ronny Mauricio	B	Ball	0-0	1-0	2026-06-28T20:05:51.337Z
272	7	bottom	away	46	José Alvarado	home	Ronny Mauricio	B	Ball	1-0	2-0	2026-06-28T20:06:16.007Z
273	7	bottom	away	46	José Alvarado	home	Ronny Mauricio	B	Ball	2-0	3-0	2026-06-28T20:06:33.492Z
274	7	bottom	away	46	José Alvarado	home	Ronny Mauricio	C	Called Strike	3-0	3-1	2026-06-28T20:07:13.412Z
275	7	bottom	away	46	José Alvarado	home	Ronny Mauricio	C	Called Strike	3-1	3-2	2026-06-28T20:07:21.351Z
276	7	bottom	away	46	José Alvarado	home	Ronny Mauricio	SW	Swinging Strike	3-2	3-3	2026-06-28T20:07:36.459Z
277	7	bottom	away	46	José Alvarado	home	Francisco Alvarez	B	Ball	0-0	1-0	2026-06-28T20:08:15.295Z
278	7	bottom	away	46	José Alvarado	home	Francisco Alvarez	B	Ball	1-0	2-0	2026-06-28T20:08:28.655Z
279	7	bottom	away	46	José Alvarado	home	Francisco Alvarez	B	Ball	2-0	3-0	2026-06-28T20:08:47.084Z
280	7	bottom	away	46	José Alvarado	home	Francisco Alvarez	C	Called Strike	3-0	3-1	2026-06-28T20:09:07.306Z
281	7	bottom	away	46	José Alvarado	home	Francisco Alvarez	F	Foul	3-1	3-2	2026-06-28T20:09:27.579Z
282	7	bottom	away	46	José Alvarado	home	Francisco Alvarez	SW	Swinging Strike	3-2	3-3	2026-06-28T20:09:44.911Z
283	7	bottom	away	46	José Alvarado	home	Jared Young	C	Called Strike	0-0	0-1	2026-06-28T20:10:16.944Z
